# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125328 2457502.83343 1284 0.0713 2.7938725956e+05 -1.1344537453e+03 1.7129806308e+03 2.8679061800e-01 -7.1944118621e+00 -3.7791494098e-01 1.5770080998e+05 -1.5544518467e+03 -1.1603389954e+03 3.2708238343e+00 9.7766523805e-01 -2.8023949854e-01
125329 2457502.85386 1269 0.0674 2.7941480133e+05 -1.1330372137e+03 1.7287712295e+03 2.8319816953e-01 -7.2131732625e+00 -1.8368779453e-01 1.5997977078e+05 -1.5688402540e+03 -1.1356314221e+03 3.2939537371e+00 9.0783135216e-01 -1.7357666166e-01
125330 2457502.87430 1402 0.0698 2.8087626705e+05 -1.1408727845e+03 1.7581693872e+03 2.9367737906e-01 -7.2924405107e+00 -3.7989432709e-02 1.6016473621e+05 -1.5706454952e+03 -1.1397981289e+03 3.2976333040e+00 9.1402441979e-01 -2.1908184452e-01
125331 2457502.89473 1155 0.0692 2.8131404881e+05 -1.1410575109e+03 1.7881840782e+03 2.9139939506e-01 -7.3439702654e+00 2.5428787554e-01 1.6107909131e+05 -1.5774037958e+03 -1.1395003551e+03 3.3099754570e+00 9.1003064990e-01 -2.3341923446e-01
125332 2457502.91517 1267 0.0725 2.8339859622e+05 -1.1570793493e+03 1.7825872557e+03 3.2067584744e-01 -7.3520149456e+00 1.1350253943e-01 1.6152707004e+05 -1.5816452115e+03 -1.1482927132e+03 3.3199897293e+00 9.5133518157e-01 -1.9104458093e-01
125333 2457502.93560 1201 0.0736 2.8545554646e+05 -1.1734769935e+03 1.7715165803e+03 3.5022795925e-01 -7.3689279258e+00 -1.6928095972e-01 1.6323775568e+05 -1.5936878644e+03 -1.1417378027e+03 3.3408647863e+00 9.2197207500e-01 -2.1582610240e-01
125334 2457502.95603 708 0.0781 2.7735371264e+05 -1.1144619827e+03 1.7609043979e+03 2.4571679392e-01 -7.2723216836e+00 1.1127585573e-01 1.5486513715e+05 -1.5405539808e+03 -1.2292173498e+03 3.2564145314e+00 1.1965881894e+00 -4.5885725011e-01
125335 2457502.97653 34 0.0614 1.4788758769e+05 -1.7512286422e+02 1.5394930277e+03 -1.4535179356e+00 -6.3801197143e+00 4.4657800676e-01 -1.5837486402e+05 6.5411433906e+02 -2.5167988130e+03 -5.8300057695e-01 5.7998136939e+00 -1.3294909767e+00
125337 2457503.01735 1406 0.0705 2.8096676263e+05 -1.1415545596e+03 1.7580921435e+03 2.9459364629e-01 -7.2993151763e+00 -7.2910900532e-02 1.5980676921e+05 -1.5678382510e+03 -1.1382651520e+03 3.2927456251e+00 9.2008830465e-01 -1.6154593490e-01
125338 2457503.03778 881 0.0712 2.7197910718e+05 -1.0799020495e+03 1.7091688284e+03 1.8985582592e-01 -7.1120487455e+00 -4.3858563987e-02 1.5553923199e+05 -1.5422961530e+03 -1.1980954801e+03 3.2529068883e+00 1.0675161949e+00 -5.2555643379e-01
125339 2457503.05822 1126 0.0703 2.8081111584e+05 -1.1365258143e+03 1.7960395051e+03 2.8110140653e-01 -7.3809980519e+00 2.1615233016e-01 1.5900976945e+05 -1.5637699895e+03 -1.1562058670e+03 3.2874686434e+00 9.6406707427e-01 -2.7207225263e-01
125340 2457503.07865 1406 0.0761 2.8302261120e+05 -1.1550627853e+03 1.7751098910e+03 3.1806365928e-01 -7.3302076979e+00 8.4641560417e-02 1.5923407072e+05 -1.5638529552e+03 -1.1406681407e+03 3.2857017578e+00 9.2620837935e-01 -1.7543974533e-01
